epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7939,1.73957,0.70113,0.49727,0.0003,0.03385,0.00523,0.00105,2.02581,0.16527,0.42409,0.0669523,3.30808e-05,3.30808e-05
2,94.7144,1.21265,0.48349,0.21111,0.17326,0.32,0.1051,0.02121,1.09285,0.51027,0.16821,0.0336516,6.57507e-05,6.57507e-05
3,144.212,1.0304,0.57646,0.1715,0.20411,0.38462,0.17746,0.05865,0.83718,0.72801,0.11262,0.00035028,9.77545e-05,9.77545e-05
4,193.569,0.84349,0.72535,0.13519,0.29126,0.41538,0.2539,0.0863,0.84044,0.67501,0.11197,9.7003e-05,9.7003e-05,9.7003e-05
5,244.724,0.77837,0.73574,0.11802,0.3364,0.48,0.33547,0.13055,0.75746,0.75461,0.0921,9.6004e-05,9.6004e-05,9.6004e-05
6,295.332,0.77674,0.72857,0.11195,0.3964,0.47689,0.38645,0.10408,0.84308,0.67944,0.09976,9.5005e-05,9.5005e-05,9.5005e-05
7,345.298,0.76228,0.72571,0.10427,0.37703,0.52,0.35659,0.12944,0.75584,0.7128,0.08851,9.4006e-05,9.4006e-05,9.4006e-05
8,393.672,0.76663,0.70441,0.10309,0.474,0.51385,0.47422,0.18305,0.74389,0.68017,0.08999,9.3007e-05,9.3007e-05,9.3007e-05
9,442.793,0.79339,0.63199,0.11002,0.68067,0.52,0.52134,0.17887,0.82732,0.5473,0.09974,9.2008e-05,9.2008e-05,9.2008e-05
10,491.702,0.80623,0.57123,0.107,0.66431,0.53846,0.54975,0.16606,0.84172,0.52943,0.09562,9.1009e-05,9.1009e-05,9.1009e-05
11,540.61,0.80081,0.56591,0.10522,0.73279,0.58154,0.6579,0.23729,0.75359,0.56086,0.0856,9.001e-05,9.001e-05,9.001e-05
