epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,52.286,1.75931,0.43235,0.49301,0.00084,0.09538,0.00075,0.00017,1.61353,0.32433,0.25323,0.0669523,3.30808e-05,3.30808e-05
2,105.203,1.22926,0.5154,0.21101,0.11157,0.23077,0.05327,0.0097,1.17206,0.47559,0.18277,0.0336516,6.57507e-05,6.57507e-05
3,158.522,1.02029,0.60399,0.16956,0.23909,0.37846,0.19058,0.04688,0.84705,0.73002,0.113,0.00035028,9.77545e-05,9.77545e-05
4,211.74,0.80827,0.77863,0.12759,0.25327,0.36615,0.24496,0.08188,0.73904,0.81631,0.09586,9.7003e-05,9.7003e-05,9.7003e-05
5,265.055,0.71259,0.85794,0.10551,0.26048,0.47692,0.25282,0.10089,0.64496,0.89208,0.07753,9.6004e-05,9.6004e-05,9.6004e-05
6,318.213,0.67618,0.88742,0.09183,0.32165,0.49231,0.30633,0.11237,0.7024,0.82562,0.08133,9.5005e-05,9.5005e-05,9.5005e-05
7,371.103,0.73645,0.75258,0.10199,0.65479,0.52526,0.49734,0.16223,0.79602,0.63379,0.09744,9.4006e-05,9.4006e-05,9.4006e-05
8,424.061,0.77424,0.64094,0.10696,0.65002,0.60577,0.58939,0.23426,0.69105,0.70001,0.08026,9.3007e-05,9.3007e-05,9.3007e-05
9,477.009,0.75838,0.63235,0.1038,0.68837,0.62462,0.64462,0.23219,0.71183,0.64636,0.08692,9.2008e-05,9.2008e-05,9.2008e-05
10,529.647,0.75913,0.60056,0.10096,0.67817,0.64308,0.65163,0.23436,0.72101,0.62939,0.08307,9.1009e-05,9.1009e-05,9.1009e-05
11,582.293,0.75275,0.62312,0.0988,0.68746,0.61846,0.63535,0.24182,0.71476,0.60067,0.08182,9.001e-05,9.001e-05,9.001e-05
12,634.735,0.74548,0.59304,0.0973,0.74631,0.62456,0.66366,0.23666,0.69991,0.67952,0.07852,8.9011e-05,8.9011e-05,8.9011e-05
13,688.095,0.7663,0.57059,0.09838,0.74476,0.65231,0.71229,0.27166,0.67501,0.61264,0.07603,8.8012e-05,8.8012e-05,8.8012e-05
14,741.227,0.74335,0.59344,0.09836,0.73425,0.62909,0.69952,0.27027,0.69328,0.61019,0.07665,8.7013e-05,8.7013e-05,8.7013e-05
15,794.109,0.74885,0.57392,0.09765,0.69174,0.67077,0.69451,0.24824,0.70428,0.59469,0.08135,8.6014e-05,8.6014e-05,8.6014e-05
16,846.95,0.73434,0.56406,0.09587,0.64051,0.66154,0.64963,0.24181,0.72349,0.58628,0.084,8.5015e-05,8.5015e-05,8.5015e-05
17,899.762,0.73643,0.55241,0.09471,0.71593,0.62154,0.67217,0.22864,0.72941,0.58828,0.08491,8.4016e-05,8.4016e-05,8.4016e-05
18,952.778,0.73731,0.55812,0.09485,0.76894,0.70154,0.74771,0.29656,0.69297,0.55125,0.07751,8.3017e-05,8.3017e-05,8.3017e-05
19,1006.35,0.72976,0.54999,0.09582,0.69621,0.6417,0.68716,0.27169,0.69375,0.6014,0.07846,8.2018e-05,8.2018e-05,8.2018e-05
20,1058.88,0.73855,0.53032,0.099,0.73582,0.65132,0.71076,0.25738,0.72072,0.55136,0.08091,8.1019e-05,8.1019e-05,8.1019e-05
21,1111.38,0.72633,0.54901,0.09158,0.78664,0.72603,0.76453,0.30603,0.69458,0.53392,0.07769,8.002e-05,8.002e-05,8.002e-05
22,1164.48,0.72829,0.54554,0.09385,0.77001,0.66769,0.74319,0.2953,0.6961,0.54771,0.07927,7.9021e-05,7.9021e-05,7.9021e-05
23,1218.35,0.71623,0.53833,0.08913,0.73485,0.69538,0.72828,0.28536,0.70403,0.54788,0.08057,7.8022e-05,7.8022e-05,7.8022e-05
24,1271.4,0.7253,0.52529,0.08919,0.75475,0.67385,0.7288,0.28804,0.69382,0.56318,0.07747,7.7023e-05,7.7023e-05,7.7023e-05
25,1324.44,0.71807,0.52232,0.08826,0.77619,0.67228,0.74871,0.27467,0.72217,0.5298,0.08431,7.6024e-05,7.6024e-05,7.6024e-05
26,1377.33,0.70318,0.54238,0.08892,0.84033,0.64773,0.76703,0.30716,0.68365,0.53864,0.07479,7.5025e-05,7.5025e-05,7.5025e-05
27,1430.76,0.71947,0.51883,0.0909,0.7643,0.72923,0.76097,0.29236,0.70091,0.53053,0.0816,7.4026e-05,7.4026e-05,7.4026e-05
28,1484.31,0.72107,0.51427,0.09116,0.77896,0.68923,0.74745,0.27808,0.71937,0.52004,0.08424,7.3027e-05,7.3027e-05,7.3027e-05
29,1538.22,0.70872,0.52288,0.08905,0.77991,0.72,0.76361,0.28933,0.70062,0.5349,0.07967,7.2028e-05,7.2028e-05,7.2028e-05
30,1591.71,0.7021,0.51789,0.08667,0.81816,0.67385,0.75562,0.29696,0.69548,0.52589,0.07662,7.1029e-05,7.1029e-05,7.1029e-05
31,1644.64,0.70962,0.5146,0.08889,0.75683,0.67034,0.74169,0.28202,0.71028,0.52236,0.08065,7.003e-05,7.003e-05,7.003e-05
32,1698.1,0.70623,0.51164,0.08683,0.73802,0.71077,0.72705,0.27471,0.72911,0.52514,0.08374,6.9031e-05,6.9031e-05,6.9031e-05
33,1751.19,0.69363,0.51485,0.08436,0.75595,0.65846,0.71712,0.27662,0.7182,0.52317,0.08361,6.8032e-05,6.8032e-05,6.8032e-05
34,1803.84,0.70535,0.51014,0.08982,0.79128,0.68824,0.73523,0.28817,0.71555,0.50641,0.08085,6.7033e-05,6.7033e-05,6.7033e-05
35,1857.49,0.69024,0.51065,0.08335,0.73336,0.68,0.71784,0.27629,0.73639,0.49973,0.08318,6.6034e-05,6.6034e-05,6.6034e-05
36,1910.98,0.69461,0.50369,0.0837,0.73927,0.69538,0.72969,0.29194,0.6989,0.52282,0.07893,6.5035e-05,6.5035e-05,6.5035e-05
37,1963.88,0.69632,0.50647,0.08569,0.69833,0.66154,0.6849,0.25881,0.72202,0.5403,0.08299,6.4036e-05,6.4036e-05,6.4036e-05
38,2017.2,0.69264,0.51027,0.08295,0.78468,0.67077,0.75102,0.30044,0.70434,0.53164,0.08044,6.3037e-05,6.3037e-05,6.3037e-05
39,2070.55,0.69705,0.49634,0.08513,0.77239,0.70462,0.76204,0.30186,0.694,0.50381,0.07764,6.2038e-05,6.2038e-05,6.2038e-05
40,2124.23,0.68367,0.49582,0.08431,0.79108,0.73846,0.79321,0.32077,0.67277,0.51696,0.0736,6.1039e-05,6.1039e-05,6.1039e-05
41,2177.6,0.68365,0.49305,0.08095,0.76716,0.70769,0.74723,0.29444,0.71758,0.5072,0.08023,6.004e-05,6.004e-05,6.004e-05
42,2230.96,0.67447,0.49912,0.08183,0.73528,0.72923,0.75091,0.30206,0.69069,0.5191,0.07618,5.9041e-05,5.9041e-05,5.9041e-05
43,2284.47,0.68444,0.48932,0.08099,0.80352,0.71077,0.75645,0.30253,0.68758,0.51627,0.07629,5.8042e-05,5.8042e-05,5.8042e-05
44,2337.81,0.6702,0.49787,0.08031,0.79826,0.69398,0.76597,0.30472,0.70229,0.50996,0.07753,5.7043e-05,5.7043e-05,5.7043e-05
45,2391.14,0.67687,0.4942,0.08018,0.80377,0.73846,0.78048,0.30744,0.68521,0.51215,0.0762,5.6044e-05,5.6044e-05,5.6044e-05
46,2444.04,0.66906,0.5024,0.07891,0.80668,0.70617,0.77177,0.29862,0.71573,0.49646,0.08076,5.5045e-05,5.5045e-05,5.5045e-05
47,2497.6,0.66731,0.48815,0.07927,0.79965,0.76308,0.7812,0.27611,0.72283,0.49624,0.083,5.4046e-05,5.4046e-05,5.4046e-05
48,2551.39,0.66923,0.48335,0.0782,0.79176,0.73538,0.77895,0.29467,0.71588,0.49682,0.08055,5.3047e-05,5.3047e-05,5.3047e-05
49,2604.87,0.66883,0.47999,0.07678,0.79984,0.72544,0.77123,0.30092,0.70467,0.49458,0.07806,5.2048e-05,5.2048e-05,5.2048e-05
50,2658.19,0.64956,0.47877,0.07607,0.81114,0.67396,0.76174,0.29463,0.70907,0.51085,0.08065,5.1049e-05,5.1049e-05,5.1049e-05
51,2711.86,0.65928,0.47787,0.07667,0.77834,0.75385,0.78481,0.29628,0.70999,0.50491,0.08073,5.005e-05,5.005e-05,5.005e-05
52,2765.26,0.65549,0.47616,0.07372,0.80039,0.76308,0.79309,0.30624,0.70446,0.49658,0.07779,4.9051e-05,4.9051e-05,4.9051e-05
53,2818.55,0.65836,0.4718,0.07605,0.80087,0.71077,0.76071,0.28898,0.71374,0.51181,0.08209,4.8052e-05,4.8052e-05,4.8052e-05
54,2872.05,0.63845,0.47604,0.07348,0.80136,0.73237,0.74993,0.29539,0.70536,0.51226,0.07938,4.7053e-05,4.7053e-05,4.7053e-05
55,2925.32,0.64587,0.47778,0.07226,0.84084,0.75385,0.79849,0.30712,0.69685,0.50515,0.07922,4.6054e-05,4.6054e-05,4.6054e-05
56,2978.75,0.64199,0.47489,0.07265,0.78966,0.72773,0.74434,0.28796,0.71396,0.50757,0.08129,4.5055e-05,4.5055e-05,4.5055e-05
57,3032.61,0.63534,0.47311,0.07213,0.78188,0.72615,0.74821,0.29516,0.70786,0.50798,0.08133,4.4056e-05,4.4056e-05,4.4056e-05
58,3086.15,0.62584,0.4694,0.07154,0.80858,0.74154,0.77559,0.29912,0.71558,0.50042,0.08261,4.3057e-05,4.3057e-05,4.3057e-05
59,3139.64,0.61837,0.46843,0.07012,0.78737,0.752,0.77108,0.30105,0.70558,0.50265,0.0791,4.2058e-05,4.2058e-05,4.2058e-05
60,3193.46,0.61978,0.47323,0.07135,0.80938,0.7447,0.7609,0.2966,0.70531,0.52555,0.07973,4.1059e-05,4.1059e-05,4.1059e-05
61,3246.71,0.62142,0.47105,0.07077,0.82426,0.72157,0.77849,0.29412,0.71118,0.50898,0.07896,4.006e-05,4.006e-05,4.006e-05
62,3300.21,0.62237,0.4586,0.06801,0.80425,0.72056,0.76542,0.29515,0.71191,0.50998,0.07826,3.9061e-05,3.9061e-05,3.9061e-05
63,3353.53,0.61263,0.46094,0.06755,0.82874,0.71385,0.7669,0.28636,0.72113,0.50755,0.08098,3.8062e-05,3.8062e-05,3.8062e-05
64,3406.61,0.60959,0.46304,0.06753,0.80587,0.70154,0.75759,0.29556,0.71179,0.51289,0.08083,3.7063e-05,3.7063e-05,3.7063e-05
65,3459.06,0.6057,0.45715,0.06937,0.81308,0.72615,0.77471,0.29829,0.71545,0.50439,0.08105,3.6064e-05,3.6064e-05,3.6064e-05
66,3511.65,0.60102,0.45949,0.06586,0.82377,0.71916,0.76866,0.30201,0.70604,0.50805,0.07991,3.5065e-05,3.5065e-05,3.5065e-05
67,3563.97,0.60457,0.46182,0.06545,0.80716,0.72308,0.75298,0.29492,0.71043,0.51952,0.08381,3.4066e-05,3.4066e-05,3.4066e-05
68,3616.46,0.59671,0.46107,0.06213,0.82513,0.74045,0.75491,0.29333,0.71629,0.50535,0.08248,3.3067e-05,3.3067e-05,3.3067e-05
69,3669.28,0.58318,0.45484,0.06248,0.80024,0.73958,0.74946,0.28489,0.72398,0.51176,0.08275,3.2068e-05,3.2068e-05,3.2068e-05
70,3721.92,0.58728,0.45541,0.06369,0.79925,0.735,0.75261,0.28752,0.71703,0.51305,0.08116,3.1069e-05,3.1069e-05,3.1069e-05
71,3774.65,0.57751,0.45239,0.06214,0.82013,0.72,0.76818,0.2866,0.71928,0.5207,0.08182,3.007e-05,3.007e-05,3.007e-05
72,3827.39,0.57811,0.45906,0.06145,0.8021,0.72,0.74366,0.27892,0.72336,0.52161,0.08323,2.9071e-05,2.9071e-05,2.9071e-05
73,3879.91,0.57192,0.44401,0.0612,0.81734,0.71594,0.75432,0.28948,0.71114,0.52826,0.08036,2.8072e-05,2.8072e-05,2.8072e-05
74,3932.13,0.57678,0.44866,0.06119,0.78297,0.75482,0.75467,0.28707,0.72181,0.51394,0.08265,2.7073e-05,2.7073e-05,2.7073e-05
75,3984.2,0.57509,0.44839,0.0624,0.80458,0.73231,0.75564,0.2822,0.72087,0.51226,0.08219,2.6074e-05,2.6074e-05,2.6074e-05
76,4036.87,0.56817,0.44886,0.0609,0.81999,0.72883,0.75695,0.29408,0.70749,0.51703,0.08156,2.5075e-05,2.5075e-05,2.5075e-05
77,4089.73,0.55927,0.44622,0.05773,0.80847,0.73846,0.77437,0.29332,0.71503,0.50685,0.08139,2.4076e-05,2.4076e-05,2.4076e-05
78,4142.76,0.55243,0.44649,0.05687,0.82656,0.74462,0.77436,0.28893,0.71355,0.51263,0.08061,2.3077e-05,2.3077e-05,2.3077e-05
79,4195.48,0.55112,0.44218,0.05749,0.81296,0.73557,0.77869,0.2848,0.72197,0.52346,0.08223,2.2078e-05,2.2078e-05,2.2078e-05
80,4248.42,0.54157,0.44101,0.05547,0.81867,0.72,0.77285,0.28748,0.72406,0.51995,0.08333,2.1079e-05,2.1079e-05,2.1079e-05
81,4301.28,0.55243,0.4465,0.05735,0.82746,0.72923,0.76923,0.28668,0.72778,0.51572,0.08414,2.008e-05,2.008e-05,2.008e-05
82,4354.12,0.5415,0.43908,0.05771,0.81937,0.72923,0.75972,0.28497,0.72612,0.5081,0.08388,1.9081e-05,1.9081e-05,1.9081e-05
83,4407.36,0.54116,0.43557,0.05719,0.81556,0.71385,0.75361,0.28377,0.72807,0.51497,0.08507,1.8082e-05,1.8082e-05,1.8082e-05
84,4460.71,0.53594,0.43506,0.05507,0.8175,0.72308,0.74835,0.28333,0.72645,0.5208,0.08505,1.7083e-05,1.7083e-05,1.7083e-05
85,4512.95,0.53268,0.43263,0.05441,0.81449,0.72,0.74477,0.28452,0.72116,0.51881,0.08259,1.6084e-05,1.6084e-05,1.6084e-05
86,4565.55,0.53321,0.43335,0.05503,0.79437,0.7132,0.74334,0.28511,0.72276,0.52106,0.08268,1.5085e-05,1.5085e-05,1.5085e-05
87,4617.77,0.52831,0.4302,0.05392,0.79192,0.72603,0.74842,0.28573,0.72626,0.51959,0.08411,1.4086e-05,1.4086e-05,1.4086e-05
88,4669.94,0.52107,0.43196,0.05302,0.80788,0.72456,0.7458,0.28236,0.72727,0.52596,0.0834,1.3087e-05,1.3087e-05,1.3087e-05
