epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,63.744,1.73502,0.57275,0.46793,5e-05,0.00615,3e-05,0,2.24752,0.04714,1.79887,0.0669523,3.30808e-05,3.30808e-05
2,128.848,1.20753,0.55131,0.20392,0.21889,0.28308,0.1331,0.02587,0.93917,0.81704,0.12757,0.0336516,6.57507e-05,6.57507e-05
3,194.689,0.94173,0.66635,0.14724,0.24558,0.41846,0.2384,0.06664,0.77614,0.80011,0.10191,0.00035028,9.77545e-05,9.77545e-05
4,260.182,0.75131,0.83579,0.10817,0.24114,0.45231,0.25704,0.09059,0.69686,0.84661,0.08129,9.7003e-05,9.7003e-05,9.7003e-05
5,325.682,0.69089,0.87011,0.09834,0.29194,0.4529,0.26983,0.10223,0.67786,0.85132,0.07927,9.6004e-05,9.6004e-05,9.6004e-05
6,391.197,0.68493,0.86887,0.09224,0.27971,0.56308,0.31668,0.11502,0.66123,0.87669,0.07103,9.5005e-05,9.5005e-05,9.5005e-05
7,456.764,0.66647,0.87322,0.08737,0.48422,0.49538,0.46428,0.18264,0.65258,0.81974,0.07196,9.4006e-05,9.4006e-05,9.4006e-05
8,522.453,0.76424,0.66443,0.10321,0.62653,0.59361,0.54681,0.20101,0.75802,0.60054,0.09718,9.3007e-05,9.3007e-05,9.3007e-05
9,587.872,0.76503,0.61245,0.10548,0.62053,0.61538,0.60406,0.19342,0.78074,0.59382,0.09696,9.2008e-05,9.2008e-05,9.2008e-05
10,653.676,0.76862,0.6024,0.1036,0.73029,0.57231,0.65791,0.24578,0.71891,0.60715,0.08185,9.1009e-05,9.1009e-05,9.1009e-05
11,719.105,0.75276,0.61349,0.09942,0.67247,0.61911,0.64485,0.23248,0.71331,0.6107,0.08321,9.001e-05,9.001e-05,9.001e-05
12,784.579,0.76196,0.59117,0.10031,0.64645,0.59635,0.65953,0.24093,0.70249,0.62441,0.08217,8.9011e-05,8.9011e-05,8.9011e-05
13,850.101,0.7638,0.57416,0.09713,0.74006,0.62154,0.70034,0.27126,0.72139,0.55638,0.08398,8.8012e-05,8.8012e-05,8.8012e-05
14,915.468,0.75484,0.58386,0.09898,0.67595,0.58405,0.65871,0.25128,0.6882,0.61811,0.07814,8.7013e-05,8.7013e-05,8.7013e-05
15,980.29,0.753,0.55571,0.09917,0.71682,0.64615,0.69373,0.26097,0.70522,0.57108,0.08037,8.6014e-05,8.6014e-05,8.6014e-05
16,1045.37,0.74371,0.56079,0.09884,0.73725,0.67077,0.72853,0.28369,0.70191,0.56442,0.07973,8.5015e-05,8.5015e-05,8.5015e-05
17,1110.59,0.73646,0.55339,0.09642,0.76702,0.66857,0.7479,0.27954,0.70424,0.55559,0.08011,8.4016e-05,8.4016e-05,8.4016e-05
18,1176.17,0.73264,0.55892,0.0935,0.70501,0.64,0.71071,0.28263,0.70557,0.56793,0.08014,8.3017e-05,8.3017e-05,8.3017e-05
19,1241.35,0.72567,0.55934,0.09689,0.76611,0.62486,0.69908,0.26277,0.71438,0.55331,0.0819,8.2018e-05,8.2018e-05,8.2018e-05
20,1306.37,0.73859,0.53757,0.10174,0.74405,0.67084,0.72586,0.27412,0.7081,0.55518,0.08135,8.1019e-05,8.1019e-05,8.1019e-05
21,1371.66,0.7301,0.53391,0.09324,0.78111,0.67385,0.7537,0.28417,0.69186,0.55758,0.07722,8.002e-05,8.002e-05,8.002e-05
22,1437.02,0.72797,0.5538,0.0944,0.79223,0.68048,0.74702,0.28802,0.69011,0.55525,0.07745,7.9021e-05,7.9021e-05,7.9021e-05
23,1501.94,0.7248,0.53317,0.09099,0.75102,0.69231,0.75641,0.30157,0.67946,0.54582,0.07519,7.8022e-05,7.8022e-05,7.8022e-05
24,1567.77,0.72472,0.52213,0.08848,0.81023,0.64308,0.74269,0.28252,0.68814,0.55846,0.07645,7.7023e-05,7.7023e-05,7.7023e-05
25,1632.7,0.71903,0.53292,0.08869,0.76159,0.67822,0.74742,0.27591,0.72443,0.51792,0.08154,7.6024e-05,7.6024e-05,7.6024e-05
26,1697.39,0.71622,0.52714,0.09127,0.77327,0.68308,0.76547,0.30238,0.69085,0.53613,0.07606,7.5025e-05,7.5025e-05,7.5025e-05
27,1762.99,0.72089,0.5239,0.09125,0.66811,0.64419,0.68999,0.26692,0.69167,0.58229,0.07942,7.4026e-05,7.4026e-05,7.4026e-05
28,1827.85,0.71922,0.51811,0.08943,0.79277,0.64742,0.75031,0.29322,0.70387,0.53067,0.07505,7.3027e-05,7.3027e-05,7.3027e-05
29,1893.05,0.70048,0.52979,0.08758,0.77878,0.67385,0.75128,0.28644,0.69463,0.53438,0.07712,7.2028e-05,7.2028e-05,7.2028e-05
30,1958.02,0.71075,0.51906,0.0892,0.73454,0.72615,0.7533,0.28977,0.70629,0.5266,0.08245,7.1029e-05,7.1029e-05,7.1029e-05
31,2022.57,0.71007,0.51511,0.08878,0.73462,0.68,0.71825,0.26115,0.72235,0.53216,0.08338,7.003e-05,7.003e-05,7.003e-05
32,2087.47,0.70219,0.5228,0.08579,0.74852,0.70769,0.74047,0.28178,0.699,0.54744,0.07834,6.9031e-05,6.9031e-05,6.9031e-05
33,2152.45,0.70699,0.51124,0.08691,0.75345,0.68641,0.74653,0.28399,0.69747,0.52832,0.07767,6.8032e-05,6.8032e-05,6.8032e-05
34,2217.46,0.70607,0.51877,0.09045,0.74519,0.70769,0.75898,0.28377,0.70362,0.53594,0.07825,6.7033e-05,6.7033e-05,6.7033e-05
35,2282.24,0.69399,0.51675,0.08415,0.74436,0.72615,0.75523,0.28833,0.70787,0.51627,0.08006,6.6034e-05,6.6034e-05,6.6034e-05
36,2347.32,0.70074,0.50492,0.08521,0.79443,0.70156,0.76588,0.28204,0.7246,0.50845,0.08569,6.5035e-05,6.5035e-05,6.5035e-05
37,2413.11,0.69894,0.50193,0.08729,0.75058,0.68923,0.7421,0.28523,0.68161,0.55519,0.07685,6.4036e-05,6.4036e-05,6.4036e-05
38,2477.78,0.69648,0.50757,0.08374,0.74426,0.71077,0.74912,0.29144,0.6999,0.53498,0.07928,6.3037e-05,6.3037e-05,6.3037e-05
39,2542.81,0.69277,0.5029,0.08442,0.81302,0.69846,0.75797,0.30141,0.69855,0.51699,0.07693,6.2038e-05,6.2038e-05,6.2038e-05
40,2607.96,0.69128,0.49859,0.08737,0.76981,0.76146,0.79266,0.30572,0.69671,0.50453,0.07954,6.1039e-05,6.1039e-05,6.1039e-05
41,2673.19,0.69191,0.48776,0.08365,0.83299,0.74462,0.80541,0.31159,0.70119,0.49802,0.07935,6.004e-05,6.004e-05,6.004e-05
42,2738.07,0.6792,0.49695,0.08415,0.73933,0.77231,0.78942,0.30651,0.69667,0.51689,0.07999,5.9041e-05,5.9041e-05,5.9041e-05
43,2803.28,0.68541,0.50052,0.08212,0.8152,0.73296,0.81091,0.31017,0.67854,0.52736,0.07531,5.8042e-05,5.8042e-05,5.8042e-05
44,2868.99,0.67439,0.49792,0.08288,0.82436,0.73654,0.78825,0.30099,0.68766,0.53505,0.07519,5.7043e-05,5.7043e-05,5.7043e-05
45,2934.3,0.67799,0.49747,0.07997,0.80597,0.71692,0.78987,0.30968,0.68579,0.50833,0.07496,5.6044e-05,5.6044e-05,5.6044e-05
46,2999.2,0.6693,0.50237,0.07952,0.83008,0.72923,0.79856,0.30703,0.68464,0.52616,0.07664,5.5045e-05,5.5045e-05,5.5045e-05
47,3064.19,0.67378,0.48886,0.08076,0.77548,0.76519,0.79625,0.30121,0.69667,0.51632,0.07639,5.4046e-05,5.4046e-05,5.4046e-05
48,3128.57,0.6757,0.49068,0.07949,0.83966,0.71692,0.79016,0.2967,0.69879,0.49816,0.07859,5.3047e-05,5.3047e-05,5.3047e-05
49,3192.79,0.67533,0.47855,0.07948,0.83906,0.72308,0.80763,0.31306,0.69927,0.495,0.08058,5.2048e-05,5.2048e-05,5.2048e-05
50,3257.82,0.65924,0.48597,0.07847,0.77261,0.71385,0.74333,0.28179,0.72833,0.51192,0.08487,5.1049e-05,5.1049e-05,5.1049e-05
51,3322.62,0.6655,0.47803,0.07653,0.81621,0.74154,0.78286,0.29943,0.71136,0.49699,0.08204,5.005e-05,5.005e-05,5.005e-05
52,3387.5,0.65628,0.48379,0.07495,0.78063,0.7336,0.77987,0.29931,0.70882,0.50591,0.08175,4.9051e-05,4.9051e-05,4.9051e-05
53,3452.76,0.666,0.4745,0.07658,0.82676,0.73846,0.78957,0.30445,0.70927,0.50122,0.08003,4.8052e-05,4.8052e-05,4.8052e-05
54,3517.72,0.64882,0.47591,0.07442,0.80624,0.76817,0.79921,0.30278,0.70168,0.50216,0.07932,4.7053e-05,4.7053e-05,4.7053e-05
55,3582.4,0.64865,0.47969,0.07286,0.79587,0.72923,0.78721,0.29682,0.70489,0.50909,0.07971,4.6054e-05,4.6054e-05,4.6054e-05
56,3647.2,0.64936,0.47567,0.07552,0.80478,0.73846,0.79328,0.29484,0.70734,0.51247,0.07963,4.5055e-05,4.5055e-05,4.5055e-05
57,3712.2,0.64205,0.47242,0.0752,0.83669,0.73231,0.78908,0.29209,0.71168,0.51217,0.08239,4.4056e-05,4.4056e-05,4.4056e-05
58,3777.26,0.64436,0.47258,0.075,0.8096,0.75885,0.78796,0.29398,0.70338,0.50852,0.07938,4.3057e-05,4.3057e-05,4.3057e-05
59,3842.08,0.63176,0.47219,0.0738,0.80442,0.74769,0.79983,0.30442,0.70175,0.51115,0.08013,4.2058e-05,4.2058e-05,4.2058e-05
60,3907.11,0.63282,0.47176,0.07364,0.80484,0.75692,0.80475,0.29889,0.71051,0.50309,0.08138,4.1059e-05,4.1059e-05,4.1059e-05
61,3971.75,0.63325,0.4691,0.07291,0.7909,0.75692,0.79079,0.28037,0.71907,0.49781,0.0832,4.006e-05,4.006e-05,4.006e-05
62,4036.72,0.63571,0.46305,0.07171,0.82686,0.75692,0.80006,0.29639,0.71047,0.49829,0.0817,3.9061e-05,3.9061e-05,3.9061e-05
63,4101.81,0.63393,0.46454,0.07085,0.81737,0.75385,0.80092,0.29271,0.71293,0.49991,0.0813,3.8062e-05,3.8062e-05,3.8062e-05
64,4166.9,0.62073,0.46868,0.07022,0.81212,0.70769,0.77141,0.26975,0.73288,0.51489,0.08669,3.7063e-05,3.7063e-05,3.7063e-05
65,4232.21,0.60976,0.46628,0.07079,0.83493,0.68308,0.76962,0.28265,0.72998,0.49691,0.08526,3.6064e-05,3.6064e-05,3.6064e-05
66,4297.37,0.61719,0.46192,0.06903,0.80003,0.74769,0.78979,0.29179,0.71504,0.51426,0.0815,3.5065e-05,3.5065e-05,3.5065e-05
67,4362.58,0.61587,0.46182,0.067,0.80659,0.72308,0.78563,0.28331,0.72701,0.503,0.08456,3.4066e-05,3.4066e-05,3.4066e-05
68,4427.1,0.61974,0.45913,0.06663,0.79792,0.68923,0.7549,0.27388,0.73359,0.51715,0.08613,3.3067e-05,3.3067e-05,3.3067e-05
69,4491.61,0.59834,0.45965,0.06557,0.77216,0.69846,0.73511,0.27369,0.73575,0.5073,0.08591,3.2068e-05,3.2068e-05,3.2068e-05
70,4556.93,0.60043,0.46105,0.06623,0.79441,0.71336,0.76871,0.27668,0.73587,0.50175,0.0879,3.1069e-05,3.1069e-05,3.1069e-05
71,4621.88,0.59692,0.46095,0.06576,0.7434,0.73989,0.75316,0.27516,0.7299,0.51402,0.0873,3.007e-05,3.007e-05,3.007e-05
72,4686.62,0.59549,0.45733,0.06429,0.80592,0.74107,0.77695,0.28956,0.72029,0.50662,0.08394,2.9071e-05,2.9071e-05,2.9071e-05
73,4751.74,0.59491,0.4568,0.06443,0.80275,0.7388,0.78305,0.28718,0.72652,0.50218,0.08566,2.8072e-05,2.8072e-05,2.8072e-05
74,4816.73,0.58659,0.45569,0.06215,0.79418,0.75692,0.78126,0.28894,0.72647,0.50265,0.08551,2.7073e-05,2.7073e-05,2.7073e-05
75,4881.67,0.5945,0.45005,0.06663,0.80417,0.73287,0.77825,0.29111,0.71794,0.50874,0.08281,2.6074e-05,2.6074e-05,2.6074e-05
76,4946.69,0.58771,0.44661,0.06533,0.8173,0.72923,0.77861,0.28934,0.71375,0.52347,0.0822,2.5075e-05,2.5075e-05,2.5075e-05
77,5011.9,0.57917,0.44942,0.06082,0.81987,0.71077,0.76718,0.28897,0.71949,0.51798,0.08315,2.4076e-05,2.4076e-05,2.4076e-05
78,5076.79,0.56982,0.4571,0.05934,0.81884,0.72318,0.77234,0.29117,0.72695,0.50772,0.08565,2.3077e-05,2.3077e-05,2.3077e-05
79,5141.63,0.57115,0.44684,0.06223,0.82972,0.70467,0.75334,0.28969,0.72694,0.51974,0.08528,2.2078e-05,2.2078e-05,2.2078e-05
80,5206.66,0.56405,0.44238,0.05975,0.82984,0.70769,0.75851,0.28922,0.72951,0.51229,0.08496,2.1079e-05,2.1079e-05,2.1079e-05
81,5271.45,0.5748,0.44657,0.06059,0.82683,0.7052,0.75061,0.28325,0.72849,0.5179,0.08442,2.008e-05,2.008e-05,2.008e-05
82,5336.46,0.57101,0.44192,0.06228,0.80196,0.72268,0.75274,0.28015,0.73326,0.51858,0.08572,1.9081e-05,1.9081e-05,1.9081e-05
83,5401.47,0.56113,0.44299,0.06119,0.79962,0.73231,0.75169,0.27697,0.73927,0.50834,0.08602,1.8082e-05,1.8082e-05,1.8082e-05
84,5466.13,0.55552,0.43894,0.05925,0.81641,0.72923,0.7546,0.27848,0.74403,0.50753,0.087,1.7083e-05,1.7083e-05,1.7083e-05
85,5531.12,0.55739,0.44094,0.05903,0.81477,0.72923,0.75158,0.27376,0.74763,0.50731,0.08775,1.6084e-05,1.6084e-05,1.6084e-05
