epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,54.016,2.0456,0.43072,0.63154,3e-05,0.00308,1e-05,1e-05,1.94671,0.0314,2.37765,0.0669523,3.30808e-05,3.30808e-05
2,105.537,1.20745,0.54821,0.21781,0.23809,0.25961,0.13804,0.03239,1.23307,0.42661,0.17211,0.0336516,6.57507e-05,6.57507e-05
3,159.697,0.98976,0.63752,0.16914,0.17866,0.36923,0.15321,0.03981,0.83523,0.76748,0.1201,0.00035028,9.77545e-05,9.77545e-05
4,213.767,0.79899,0.7856,0.13778,0.30147,0.36,0.28728,0.10511,0.69236,0.85883,0.09307,9.7003e-05,9.7003e-05,9.7003e-05
5,267.6,0.69371,0.88068,0.1005,0.29239,0.35692,0.2663,0.11026,0.66129,0.87058,0.07537,9.6004e-05,9.6004e-05,9.6004e-05
6,320.912,0.67925,0.88914,0.0908,0.3528,0.47077,0.36411,0.13995,0.66945,0.85911,0.07654,9.5005e-05,9.5005e-05,9.5005e-05
7,374.066,0.6738,0.85939,0.08861,0.38733,0.4299,0.39391,0.14977,0.64813,0.85933,0.07718,9.4006e-05,9.4006e-05,9.4006e-05
8,428.405,0.72541,0.76246,0.09803,0.52032,0.65231,0.47552,0.18064,0.76247,0.67402,0.09163,9.3007e-05,9.3007e-05,9.3007e-05
9,484.039,0.7677,0.64257,0.10582,0.5774,0.60538,0.51692,0.17671,0.7991,0.57961,0.10593,9.2008e-05,9.2008e-05,9.2008e-05
10,538.976,0.7508,0.64648,0.10045,0.70209,0.55692,0.57651,0.19685,0.75723,0.63485,0.08306,9.1009e-05,9.1009e-05,9.1009e-05
11,595.51,0.75513,0.62902,0.09923,0.73191,0.62154,0.64428,0.22902,0.70519,0.6606,0.08252,9.001e-05,9.001e-05,9.001e-05
12,650.58,0.75316,0.61249,0.10019,0.75132,0.60923,0.64942,0.23883,0.71078,0.62303,0.08039,8.9011e-05,8.9011e-05,8.9011e-05
13,706.13,0.75948,0.59036,0.09797,0.70814,0.64,0.67927,0.26057,0.69163,0.61256,0.07918,8.8012e-05,8.8012e-05,8.8012e-05
14,762.498,0.73743,0.61786,0.09753,0.72394,0.65359,0.69613,0.26663,0.67945,0.62214,0.07774,8.7013e-05,8.7013e-05,8.7013e-05
