epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,54.8088,1.75113,0.41862,0.47036,0.00165,0.18769,0.00145,0.00029,1.57724,0.47312,0.37485,0.0669523,3.30808e-05,3.30808e-05
2,111.194,1.19392,0.50481,0.19944,0.19523,0.26769,0.12171,0.02295,1.09055,0.48427,0.15392,0.0336516,6.57507e-05,6.57507e-05
3,163.176,1.03226,0.57814,0.16907,0.2837,0.34731,0.21419,0.0624,0.85914,0.68162,0.11846,0.00035028,9.77545e-05,9.77545e-05
4,217.807,0.86443,0.70626,0.14144,0.2291,0.42462,0.23257,0.08172,0.79784,0.71444,0.10728,9.7003e-05,9.7003e-05,9.7003e-05
5,269.802,0.79014,0.74692,0.12128,0.25994,0.35385,0.2139,0.07507,0.78036,0.82467,0.09142,9.6004e-05,9.6004e-05,9.6004e-05
6,321.377,0.76472,0.74675,0.11045,0.31577,0.48923,0.33447,0.11954,0.77171,0.75257,0.09136,9.5005e-05,9.5005e-05,9.5005e-05
7,373.928,0.73949,0.76506,0.09968,0.36147,0.46462,0.37237,0.14718,0.72501,0.74395,0.08216,9.4006e-05,9.4006e-05,9.4006e-05
8,426.455,0.73816,0.74914,0.09725,0.39324,0.50154,0.39095,0.1511,0.73493,0.73067,0.08519,9.3007e-05,9.3007e-05,9.3007e-05
9,478.679,0.80504,0.63348,0.11102,0.65376,0.52923,0.52197,0.18431,0.79191,0.60257,0.09793,9.2008e-05,9.2008e-05,9.2008e-05
10,531.409,0.79927,0.60263,0.10399,0.627,0.60923,0.56322,0.20643,0.80184,0.54899,0.09377,9.1009e-05,9.1009e-05,9.1009e-05
11,583.547,0.79672,0.59333,0.10263,0.6559,0.61231,0.56984,0.20469,0.79397,0.55887,0.09585,9.001e-05,9.001e-05,9.001e-05
12,636.024,0.79378,0.57985,0.10204,0.70073,0.59797,0.60546,0.20055,0.81387,0.53677,0.09483,8.9011e-05,8.9011e-05,8.9011e-05
13,688.696,0.7949,0.56555,0.10106,0.70039,0.61139,0.64025,0.23193,0.77981,0.54488,0.08911,8.8012e-05,8.8012e-05,8.8012e-05
