epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4433,1.8309,0.30183,0.53343,0.00027,0.03077,0.00088,0.00029,1.8071,0.12291,0.96388,0.0669523,3.30808e-05,3.30808e-05
2,75.467,1.30056,0.41609,0.25029,0.22474,0.25846,0.11182,0.02051,1.20055,0.43275,0.19571,0.0336516,6.57507e-05,6.57507e-05
3,114.726,1.05659,0.5527,0.17468,0.2611,0.39077,0.2099,0.06061,0.91032,0.66295,0.13102,0.00035028,9.77545e-05,9.77545e-05
4,153.785,0.88284,0.67859,0.14518,0.28066,0.45231,0.25906,0.09251,0.8228,0.6927,0.11251,9.7003e-05,9.7003e-05,9.7003e-05
5,192.342,0.79378,0.7308,0.12214,0.36101,0.41546,0.33933,0.11851,0.80495,0.67478,0.09726,9.6004e-05,9.6004e-05,9.6004e-05
6,230.818,0.76387,0.74146,0.10944,0.35181,0.46154,0.35283,0.10796,0.80824,0.68874,0.09527,9.5005e-05,9.5005e-05,9.5005e-05
7,269.579,0.7425,0.7545,0.09972,0.33096,0.51077,0.35276,0.12611,0.77928,0.69795,0.08885,9.4006e-05,9.4006e-05,9.4006e-05
8,308.269,0.74719,0.72132,0.0981,0.43135,0.51815,0.42868,0.15742,0.71249,0.76011,0.0803,9.3007e-05,9.3007e-05,9.3007e-05
9,347.327,0.79002,0.62412,0.10875,0.63032,0.50154,0.48431,0.17113,0.81452,0.57392,0.10307,9.2008e-05,9.2008e-05,9.2008e-05
10,385.642,0.78704,0.58735,0.10165,0.67946,0.55441,0.60719,0.2135,0.77619,0.56606,0.08705,9.1009e-05,9.1009e-05,9.1009e-05
11,424.656,0.79127,0.58345,0.10332,0.63767,0.49819,0.5541,0.18525,0.74945,0.62701,0.08864,9.001e-05,9.001e-05,9.001e-05
12,463.317,0.79322,0.56698,0.10228,0.70687,0.49846,0.56977,0.1825,0.77541,0.61174,0.0899,8.9011e-05,8.9011e-05,8.9011e-05
13,501.896,0.79862,0.56069,0.10121,0.68833,0.58441,0.62829,0.21511,0.79116,0.53318,0.09415,8.8012e-05,8.8012e-05,8.8012e-05
14,541.101,0.78352,0.55031,0.10266,0.69732,0.56308,0.60642,0.21512,0.75446,0.58807,0.08509,8.7013e-05,8.7013e-05,8.7013e-05
15,580.007,0.78987,0.53462,0.10516,0.71204,0.6391,0.65421,0.22914,0.77725,0.54482,0.08775,8.6014e-05,8.6014e-05,8.6014e-05
16,618.998,0.78428,0.53121,0.10556,0.70973,0.62769,0.65716,0.2451,0.77925,0.49916,0.08953,8.5015e-05,8.5015e-05,8.5015e-05
17,658.213,0.77075,0.52682,0.09998,0.73971,0.57846,0.64369,0.23159,0.7507,0.55654,0.09099,8.4016e-05,8.4016e-05,8.4016e-05
18,697.233,0.77446,0.51351,0.09725,0.71612,0.61846,0.65798,0.25008,0.74576,0.53266,0.08505,8.3017e-05,8.3017e-05,8.3017e-05
19,736.52,0.77237,0.51661,0.09907,0.78875,0.62036,0.68848,0.26797,0.74752,0.52499,0.08608,8.2018e-05,8.2018e-05,8.2018e-05
20,775.973,0.77147,0.51653,0.10113,0.71669,0.59935,0.63417,0.21832,0.74611,0.58321,0.0917,8.1019e-05,8.1019e-05,8.1019e-05
21,815.115,0.75876,0.52256,0.09584,0.75599,0.64615,0.70341,0.26905,0.74832,0.50984,0.08487,8.002e-05,8.002e-05,8.002e-05
22,854.603,0.76692,0.52135,0.09736,0.71741,0.64,0.66439,0.25413,0.75827,0.51074,0.08822,7.9021e-05,7.9021e-05,7.9021e-05
23,893.628,0.76654,0.49993,0.09646,0.74145,0.66462,0.71952,0.27991,0.73921,0.51079,0.08316,7.8022e-05,7.8022e-05,7.8022e-05
24,932.496,0.76888,0.49958,0.09567,0.75792,0.61654,0.69662,0.27151,0.75204,0.50392,0.08794,7.7023e-05,7.7023e-05,7.7023e-05
