epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,2558.87,0.70323,0.51036,0.08534,0.82759,0.71077,0.78203,0.31282,0.66966,0.53073,0.07354,6.2038e-05,6.2038e-05,6.2038e-05
40,2624.9,0.70263,0.49362,0.08862,0.74166,0.74769,0.7834,0.3152,0.69865,0.50427,0.07845,6.1039e-05,6.1039e-05,6.1039e-05
41,2691.4,0.70218,0.49058,0.08463,0.75511,0.71156,0.74316,0.28896,0.70368,0.51343,0.08187,6.004e-05,6.004e-05,6.004e-05
42,2756.95,0.68886,0.49922,0.08459,0.81395,0.74769,0.79595,0.31722,0.67748,0.50605,0.07612,5.9041e-05,5.9041e-05,5.9041e-05
43,2822.64,0.69625,0.4947,0.08452,0.81824,0.72,0.78188,0.31053,0.67774,0.50847,0.07556,5.8042e-05,5.8042e-05,5.8042e-05
44,2888.14,0.69171,0.49878,0.084,0.75462,0.73231,0.75152,0.29348,0.69455,0.52872,0.08261,5.7043e-05,5.7043e-05,5.7043e-05
45,2953.16,0.68361,0.50049,0.08151,0.83991,0.75077,0.81956,0.32118,0.67887,0.51163,0.07626,5.6044e-05,5.6044e-05,5.6044e-05
46,3019.21,0.6833,0.49903,0.08178,0.79259,0.71724,0.78993,0.31089,0.691,0.51028,0.07784,5.5045e-05,5.5045e-05,5.5045e-05
47,3084.9,0.67894,0.49857,0.08124,0.81801,0.69538,0.78218,0.30692,0.68811,0.51418,0.07685,5.4046e-05,5.4046e-05,5.4046e-05
48,3150.37,0.68451,0.49293,0.08064,0.84049,0.71335,0.78242,0.29841,0.70374,0.49854,0.07961,5.3047e-05,5.3047e-05,5.3047e-05
49,3216.15,0.68852,0.49019,0.07985,0.79713,0.73846,0.78268,0.30637,0.70228,0.49389,0.0782,5.2048e-05,5.2048e-05,5.2048e-05
50,3281.7,0.67139,0.48507,0.08019,0.73535,0.75385,0.77077,0.29545,0.70525,0.51346,0.07944,5.1049e-05,5.1049e-05,5.1049e-05
51,3346.61,0.67699,0.49245,0.07905,0.82197,0.6961,0.76999,0.30158,0.70152,0.50491,0.08144,5.005e-05,5.005e-05,5.005e-05
52,3412.19,0.67196,0.49038,0.07697,0.79478,0.7269,0.77455,0.2947,0.70468,0.50418,0.07923,4.9051e-05,4.9051e-05,4.9051e-05
53,3477.77,0.67921,0.48177,0.07888,0.81618,0.71385,0.79463,0.306,0.69752,0.50563,0.08182,4.8052e-05,4.8052e-05,4.8052e-05
54,3543.23,0.66645,0.48139,0.07819,0.78204,0.71077,0.76068,0.29154,0.71025,0.51309,0.08256,4.7053e-05,4.7053e-05,4.7053e-05
55,3608.55,0.67304,0.47655,0.07583,0.78094,0.73231,0.77019,0.29713,0.70752,0.49913,0.08022,4.6054e-05,4.6054e-05,4.6054e-05
56,3673.63,0.66316,0.47646,0.07565,0.7492,0.77538,0.76574,0.29525,0.69767,0.5086,0.07881,4.5055e-05,4.5055e-05,4.5055e-05
57,3738.73,0.65736,0.48276,0.07634,0.79702,0.72,0.77668,0.2925,0.70291,0.503,0.07909,4.4056e-05,4.4056e-05,4.4056e-05
58,3804.3,0.65355,0.47072,0.07658,0.79921,0.71692,0.76828,0.29851,0.70266,0.49554,0.07913,4.3057e-05,4.3057e-05,4.3057e-05
59,3869.68,0.64968,0.4805,0.0761,0.83029,0.72308,0.78073,0.29858,0.69976,0.51124,0.07943,4.2058e-05,4.2058e-05,4.2058e-05
60,3935.25,0.64942,0.48323,0.0767,0.79526,0.71708,0.77313,0.29913,0.70123,0.5076,0.08141,4.1059e-05,4.1059e-05,4.1059e-05
61,4000.86,0.64808,0.47749,0.07511,0.77979,0.72923,0.76387,0.28932,0.70294,0.51908,0.07963,4.006e-05,4.006e-05,4.006e-05
62,4066.4,0.65376,0.46772,0.07312,0.78336,0.73231,0.77992,0.29111,0.70191,0.51132,0.08136,3.9061e-05,3.9061e-05,3.9061e-05
63,4131.77,0.64669,0.47722,0.07298,0.81579,0.74769,0.78046,0.29689,0.7021,0.51928,0.07998,3.8062e-05,3.8062e-05,3.8062e-05
64,4196.9,0.63879,0.47265,0.07289,0.81764,0.73538,0.77199,0.28699,0.72236,0.50581,0.08489,3.7063e-05,3.7063e-05,3.7063e-05
65,4261.75,0.63058,0.46451,0.07366,0.81326,0.69679,0.76016,0.28698,0.72766,0.50209,0.08597,3.6064e-05,3.6064e-05,3.6064e-05
66,4327.31,0.64117,0.46093,0.07318,0.82986,0.72308,0.76811,0.2883,0.72054,0.50329,0.08372,3.5065e-05,3.5065e-05,3.5065e-05
67,4392.83,0.63694,0.46929,0.07023,0.81378,0.69538,0.73931,0.28149,0.72375,0.51442,0.08406,3.4066e-05,3.4066e-05,3.4066e-05
68,4458.15,0.63446,0.47718,0.06861,0.80593,0.71692,0.75956,0.28966,0.71495,0.50625,0.08213,3.3067e-05,3.3067e-05,3.3067e-05
69,4523.24,0.62066,0.4684,0.06817,0.78619,0.70769,0.7567,0.28481,0.7219,0.51005,0.08525,3.2068e-05,3.2068e-05,3.2068e-05
70,4588.34,0.62126,0.46452,0.06889,0.81577,0.71692,0.75646,0.27909,0.71239,0.52976,0.08265,3.1069e-05,3.1069e-05,3.1069e-05
71,4653.93,0.61835,0.46162,0.06901,0.75361,0.74348,0.75801,0.2857,0.71651,0.50821,0.08337,3.007e-05,3.007e-05,3.007e-05
72,4719.3,0.6219,0.45933,0.06803,0.77295,0.73846,0.7573,0.28063,0.72653,0.50478,0.08389,2.9071e-05,2.9071e-05,2.9071e-05
73,4784.74,0.61709,0.463,0.06836,0.8307,0.70769,0.77572,0.29487,0.70852,0.51213,0.08064,2.8072e-05,2.8072e-05,2.8072e-05
74,4849.97,0.61501,0.45844,0.06599,0.80385,0.68923,0.75117,0.28821,0.71744,0.50176,0.08173,2.7073e-05,2.7073e-05,2.7073e-05
